curCode
THB
GSK
SGD
MYR
HKD
CNY
JPY
AUD
IDR
USD
VND
PTI
PTV
INR
GBP
KHR
PHP
EUR
MMKK
MMK
AED
COP
MOP
CAD
BDT
RUB
NPR
MXN
BRL
PKR
KRW
TRY
LKR
LAKK
LAK
BND
TND
UAH
KES
AMD
NGN
ZAR
GHS
CLP
PEN
CHF
KZT
MNT
NOK
NZD
SEK
TZS
ZMW
ZWD
UCN
eUSD
USDT
USDC
MATIC
mBNB
Sats
Gwei
ARS
GC
DZD
EGP
ETB
FRF
MAD
UGX
HNL
GTQ
NIO
CRC
BOB
PYG
UYU
VES
SVC
PGK
PLN
XOF
BYN
VUC
GEL
OMR
SAR
TSC
BHD
KWD
TGC
COPK
IRR
BWP
NAD
GMD
